"ID","Name of the vaccine","Microbe","Disease name","Name of bacteria","Type of vaccine","Nucleic acid content","Age","Description of the vaccine","Name of the manufacturer","Name of the manufacturing country","Year of manufacture","Clinical Phase status","Bacterial strain","Efficacy","Vaccine formulation","Dosage","Mechanism of action","Route of administration","Indications","Export","Approval","Adjuvant","Repurposing","Side effects of vaccine","Post vaccination","Dose type","Interspecies transfer","PubMed identifier","Clinical trial number","Reference","Other Name","Additional Links"
"1273","Tetrabik","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","6 to 11 weeks","DTP-IPV vaccine used as part of the Japanese vaccination schedule.","Merck Sharp & Dohme Corp.","NA","2014","Clinical - Phase 4","Gram-positive bacillus.","NA","NA","Three doses of 0.5 mL.","NA","Subcutaneous","NA","NA","NA","NA","For diphtheria, tetanus, pertussis and inactivated poliovirus.","NA","NA","Combination doses","NA","NA","NCT01926015","NA","BIKEN","NA"
"1274","Td-Rix","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","18 years and older","Diphtheria, Tetanus vaccine manufactured by GlaxoSmithKline.","GlaxoSmithKline","NA","1998","Clinical - Phase 3","Gram-positive bacillus.","NA","Suspension for injection","Single dose or two doses.","NA","Intramuscular","NA","NA","NA","NA","For tetanus also.","NA","NA","Combination doses","NA","NA","NCT01262924","NA","NA","NA"
"1275","COVAXIS","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","10 to 14 years","Tdap vaccine.","Sanofi Pasteur, a Sanofi Company","Germany","2007","Clinical - Phase 4","Gram-negative coccobacillus.","NA","Suspension for injection","Single dose (0.5 mL)","NA","Intramuscular","NA","NA","NA","NA","For tetanus, diphtheria.","NA","NA","Single dose","NA","NA","NCT00304265","NA","Td5ap","NA"
"1276","diTekiBooster","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","14 to 15 years","Td1aP vaccine.","Swedish Institute for Infectious Disease Control","Sweden","2010","Clinical - Phase 4","Gram-negative coccobacillus.","NA","Suspension for injection","Single dose (0.5 mL)","Positive IgG antibody.","Intramuscular","NA","NA","NA","NA","For tetanus and diphtheria.","NA","NA","Single dose","NA","NA","NCT00870350","NA","Td1aP","NA"
"1277","Squarekids","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","6 to 12 weeks","DPT-IPV vaccine.","Kitasato Daiichi Sankyo Vaccine Co., Ltd.","Japan","2017","Clinical - Discontinued","Gram-negative coccobacillus.","NA","NA","Three doses at 3,4 and 6 months.","NA","Subcutaneous","NA","NA","NA","NA","For tetanus, diphtheria and inactivated polio virus.","NA","NA","Combination doses","NA","NA","NCT02907216","https://www.daiichisankyo.com/files/news/pressrelease/pdf/202103/20210331_E.pdf","NA","NA"
"1278","TETRAXIM","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","2 months to 6 years  ","DTacP-IPV combined vaccine ","Sanofi Pasteur, a Sanofi Company","Korea, Republic of","2015","Clinical - Phase 4","Gram-negative coccobacillus.","NA","Suspension for injection","Given at 2, 4, 6 months (Primary) or 4 to 6 years (Booster) vaccination.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, tetanus and poliomyelitis.","NA","NA","Combination doses","NA","NA","NCT01437423","NA","DTacP-IPV combined vaccine","NA"
"1279","Eupenta Inj.","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Conjugate","DNA","6 to 8 weeks","Fully liquid pentavalent vaccine.","LG Chem","NA","2020","Clinical - Phase 4","Gram-negative coccobacillus.","NA","Liquid","Three doses of 0.5 mL at 6, 10 and 14 weeks.","NA","NA","NA","NA","NA","NA","For diphtheria, tetanus, hepatitis B and haemophilus influenzae type b.","NA","NA","Combination (3 doses)","NA","NA","NCT04056728","NA","NA","NA"
"1280","Tritanrix HB+Hib","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","42 to 64 days ","DTwP-HepB/Hib vaccine.","Crucell Holland BV","Philippines","2011","Clinical - Phase 4","Gram-negative coccobacillus.","NA","NA","Single dose at 6, 10 and 14 weeks.","Anti-tetanus antibodies.","NA","Immunization against diphtheria, tetanus, pertussis (whooping cough), hepatitis B and haemophilus influenzae type b infections.","NA","NA","NA","For diphtheria, tetanus, hepatitis B and Haemophilus infections.","NA","NA","Combination doses","NA","NA","NCT01357720","https://www.vaccinebox.com/product/tritanrix-hb-hib/","DTwP-HepB/Hib","NA"
"1281","HEXAVAC","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","8 to 15 weeks","DTPa-HBV-IPV-Hib vaccine.","GlaxoSmithKline","Finland, Italy, Sweden","2005","Clinical - Phase 4","Gram-negative coccobacillus.","NA","Suspension for injection","Three doses at 3, 5 and 11-12 months.","NA","Intramuscular","NA","Marketing-authorisation holder : Sanofi Pasteur MSD, SNC","NA","NA","For diphtheria, tetanus, hepatitis B, Haemophilus influenzae type b and poliomyelitis.","NA","NA","Combination (3 doses)","NA","NA","NCT01457547","https://www.ema.europa.eu/en/medicines/human/EPAR/hexavac","NA","NA"
"1282","SP306 (in Japan)","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","11 to 12 years","Tdap vaccine.","Sanofi Pasteur, a Sanofi Company","Japan","2015","Clinical - Phase 3","Gram-negative coccobacillus.","NA","Suspension for injection","Single dose of 0.1 mL.","Antitoxin concentrations greater than or equal to 0.1 IU/mL.","Intramuscular","NA","NA","NA","NA","For tetanus and diphtheria.","NA","NA","Single dose","NA","NA","NCT02089347","NA","Adacel","NA"
"1283","BK1301","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","11 to 12 years","DTaP vaccine.","Mitsubishi Tanabe Pharma Corporation","Japan","2014","Clinical - Phase 3","Gram-negative coccobacillus.","NA","NA","Single dose of 0.5 mL.","Anti-pertussis toxoid.","Subcutaneous","NA","NA","NA","NA","For tetanus and diphtheria.","NA","NA","Single dose","NA","NA","NCT02118961","NA","TRIBIK","NA"
"1284","DTBIK","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Toxoid","DNA","11 to 12 years","DT toxoid.","Mitsubishi Tanabe Pharma Corporation","Japan","2014","Clinical - Phase 3","Gram-negative coccobacillus.","NA","NA","Single dose of 0.5 mL.","NA","Subcutaneous","NA","NA","NA","NA","For tetanus and diphtheria.","NA","NA","Single dose","NA","NA","NCT02118961","NA","DT toxoid","NA"
"1285","DTaP-IPVvero","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","up to 49 days","DTaP-IPV containing IPV produced in a vero-cell line.","Statens Serum Institut","Poland","2006","Clinical - Phase 3","Gram-negative coccobacillus.","NA","Solution","0.5 mL at 2, 3.5, 5 and 16 months of age.","NA","Intramuscular","NA","NA","NA","NA","For tetanus, diphtheria and inactivated poliovirus.","NA","NA","Combination (4 doses)","NA","NA","NCT00655148","NA","NA","NA"
"1286","DTaP-IPVmkc","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","up to 49 days","DTaP-IPV containing IPV produced in monkey kidney cells.","Statens Serum Institut","Poland","2006","Clinical - Phase 3","Gram-negative coccobacillus.","NA","Solution","0.5 mL at 2, 3.5, 5 and 16 months of age.","NA","Intramuscular","NA","NA","NA","NA","For tetanus, diphtheria and inactivated poliovirus.","NA","NA","Combination (4 doses)","NA","NA","NCT00655148","NA","NA","NA"
"1287","Tritanrix-HepB/Hib-MenAC","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","427 to 730 days","Combined diphtheria, tetanus, whole cell pertussis, hepatitis B, haemophilus influenzae type b meningococcal AC-tetanus toxoid conjugate vaccine.","GlaxoSmithKline","Thailand","2006","Clinical - Phase 3","Gram-negative coccobacillus.","NA","Suspension for injection","Three doses and a booster.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, haemophilus influenzae type b, tetanus and hepatitis B.","NA","NA","Combination (4 doses)","NA","NA","NCT00136604","NA","NA","NA"
"1288","V441","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Conjugate","DNA","6 to 8 weeks","Diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis, hepatitis B (recombinant), & Haemophilus influenza type b conjugate vaccine.","Merck Sharp & Dohme Corp.","NA","2003","Clinical - Phase 3","Gram-negative coccobacillus.","NA","NA","NA","NA","NA","NA","NA","NA","NA","For diphtheria, tetanus, hepatitis B and poliomyelitis.","NA","NA","NA","NA","NA","NCT00092469","NA","NA","NA"
"1289","GSK323527A","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","18 to 24 months","DTPw-HBV/Hib Kft vaccine.","GlaxoSmithKline","Argentina, Nicaragua","2006","Clinical - Phase 3","Gram-negative coccobacillus.","NA","Suspension for injection","Three doses as primary series and a booster dose.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, tetanus, hepatitis B and haemophilus influenzae type b.","NA","NA","Combination (4 doses)","NA","NA","NCT00332566","NA","NA","NA"
"1290","SHAN6","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","8 to 11 weeks","DTwP-HepB-Hib-IPV hexavalent vaccine.","Sanofi Pasteur, a Sanofi Company","Thailand","2021","Clinical - Phase 3","Gram-negative coccobacillus.","NA","Suspension for injection","Three doses.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, tetanus, hepatitis B, haemophilus influenzae type b and inactivated poliovirus.","NA","NA","Combination (3 doses)","NA","NA","NCT04429295","http://www.ctri.nic.in/Clinicaltrials/pdf_generate.php?trialid=30046&EncHid=&modid=&compid=%27,%2730046det%27","DTwP-HepB-Hib-IPV","NA"
"1291","BK1310","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","2 to 42 months","DPT-IPV-Hib vaccine.","Mitsubishi Tanabe Pharma Corporation","Japan","2020","Clinical - Phase 3","Gram-negative coccobacillus.","NA","Suspension for injection","0.5 ml, 3 times with the 3-8 weeks intervals, then after 6-13 months.","NA","Subcutaneous","NA","NA","NA","NA","For diphtheria, tetanus, poliomyelitis and bacterial meningitis.","NA","NA","Combination doses","NA","NA","NCT03891758","https://www.centerwatch.com/clinical-trials/listings/108627/immunization;-infection-phase-3-study-bk1310/","DPT-IPV-Hib","NA"
"1292","Tetrabik","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","6 to 11 weeks","DTP-IPV vaccine used as part of the Japanese vaccination schedule.","Merck Sharp & Dohme Corp.","NA","2014","Clinical - Phase 4","Gram-negative coccobacillus.","NA","NA","Three doses of 0.5 mL.","NA","Subcutaneous","NA","NA","NA","NA","For diphtheria, tetanus, pertussis and inactivated poliovirus.","NA","NA","Combination doses","NA","NA","NCT01926015","NA","BIKEN","NA"
"1293","Tritanrix-HepB/ Hiberix","Bacteria","Pertussis (Whooping Cough)","Bordetella pertussis","Combination","DNA","6 to 8 weeks","Low or high dose formulations of DTPw-HBV/Hib vaccine.","GlaxoSmithKline","India","2008","Clinical - Phase 3","Gram-negative coccobacillus.","NA","Suspension for injection","Three doses at 6, 10 and 14 weeks of age.","NA","Intramuscular","NA","NA","NA","NA","For tetanus , haemophilus influenzae type b, diphtheria and hepatitis B.","NA","NA","Combination (3 doses)","NA","NA","NCT00473668","NA","NA","NA"
"1294","diTekiBooster","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","14 to 15 years","Td1aP vaccine.","Swedish Institute for Infectious Disease Control","Sweden","2010","Clinical - Phase 4","Gram-positive bacteria.","NA","Suspension for injection","Single dose of 0.5 mL.","Positive IgG antibody.","Intramuscular","NA","NA","NA","NA","For pertussis and diphtheria.","NA","NA","Single dose","NA","NA","NCT00870350","NA","Td1aP","NA"
"1295","COVAXIS","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","14 to 15 years","Td5ap vaccine by Sanofi Pasteur, Canada.","Swedish Institute for Infectious Disease Control","Sweden","2010","Clinical - Phase 4","Gram-positive bacteria.","NA","Suspension for injection","Single dose of 0.5 mL.","Positive IgG antibody.","Intramuscular","NA","NA","NA","NA","For pertussis and diphtheria.","NA","NA","Single dose","NA","NA","NCT00870350","NA","Td5ap","NA"
"1296","Squarekids","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","6 to 12 weeks","DPT-IPV vaccine.","Kitasato Daiichi Sankyo Vaccine Co., Ltd.","Japan","2017","Clinical - Discontinued","Gram-positive bacteria.","NA","NA","Three doses at 3,4 and 6 months.","NA","Subcutaneous","NA","NA","NA","NA","For pertussis, diphtheria and inactivated polio virus.","NA","NA","Combination doses","NA","NA","NCT02907216","https://www.daiichisankyo.com/files/news/pressrelease/pdf/202103/20210331_E.pdf","NA","NA"
"1297","TETRAXIM","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","2 months to 6 years  ","DTacP-IPV combined vaccine ","Sanofi Pasteur, a Sanofi Company","Korea, Republic of","2015","Clinical - Phase 4","Gram-positive bacteria.","NA","Suspension for injection","Given at 2, 4, 6 months (Primary) or 4 to 6 years (Booster) vaccination.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, pertussis and poliomyelitis.","NA","NA","Combination doses","NA","NA","NCT01437423","NA","DTacP-IPV combined vaccine","NA"
"1298","Tetrabik","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","6 to 11 weeks","DTP-IPV vaccine used as part of the Japanese vaccination schedule.","Merck Sharp & Dohme Corp.","NA","2014","Clinical - Phase 4","Gram-positive bacteria.","NA","NA","Dose of 0.5 mL administered thrice.","NA","Subcutaneous","NA","NA","NA","NA","For diphtheria, tetanus, pertussis and inactivated poliovirus.","NA","NA","Combination doses","NA","NA","NCT01926015","NA","BIKEN","NA"
"1299","Eupenta Inj.","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Conjugate","DNA","6 to 8 weeks","Fully liquid pentavalent vaccine.","LG Chem","NA","2020","Clinical - Phase 4","Gram-positive bacteria.","NA","Liquid","Three doses of 0.5 mL at 6, 10 and 14 weeks.","NA","NA","NA","NA","NA","NA","For diphtheria, pertussis, hepatitis B and haemophilus influenzae type b.","NA","NA","Combination (3 doses)","NA","NA","NCT04056728","NA","NA","NA"
"1300","REVAXIS","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","6 years to 6 years","Combined adsorbed low dose diphtheria, tetanus and inactivated poliomyelitis vaccine.","Sanofi Pasteur, a Sanofi Company","France","2008","Clinical - Phase 3","Gram-positive bacteria.","NA","NA","Given as second booster.","NA","NA","NA","NA","NA","NA","For diphtheria and poliomyelitis.","NA","NA","Single dose","NA","NA","NCT00447525","NA","NA","NA"
"1301","HEXAVAC","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","8 to 15 weeks","DTPa-HBV-IPV-Hib vaccine.","GlaxoSmithKline","Finland, Italy, Sweden","2005","Clinical - Phase 4","Gram-positive bacteria.","NA","Suspension for injection","Three doses at 3, 5 and 11-12 months.","NA","Intramuscular","NA","Marketing-authorisation holder : Sanofi Pasteur MSD, SNC","NA","NA","For pertussis, diphtheria, hepatitis B, Haemophilus influenzae type b and poliomyelitis.","NA","NA","Combination (3 doses)","NA","NA","NCT01457547","https://www.ema.europa.eu/en/medicines/human/EPAR/hexavac","NA","NA"
"1302","Td-Rix","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","18 years and older","Diphtheria, Tetanus vaccine manufactured by GlaxoSmithKline.","GlaxoSmithKline","NA","1998","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Single dose or two doses.","NA","Intramuscular","NA","NA","NA","NA","For tetanus also.","NA","NA","Combination doses","NA","NA","NCT01262924","NA","NA","NA"
"1303","Tetanus Monovalent vaccine","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Toxoid","DNA","18 years and older","Tetanus toxoid vaccine.","\tSanofi Pasteur, a Sanofi Company","France, Germany","2009","Clinical - Phase 3","Gram-positive bacteria.","NA","NA","Single dose of 0.5 mL.","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT00928785","NA","NA","NA"
"1304","SP306 (in Japan)","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","11 to 12 years","Tdap vaccine.","Sanofi Pasteur, a Sanofi Company","Japan","2015","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Single dose of 0.5 mL.","Antitoxin concentrations greater than or equal to 0.1 IU/mL.","Intramuscular","NA","NA","NA","NA","For pertussis and diphtheria.","NA","NA","Single dose","NA","NA","NCT02089347","NA","Adacel","NA"
"1305","BK1301","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","11 to 12 years","DTaP vaccine.","Mitsubishi Tanabe Pharma Corporation","Japan","2014","Clinical - Phase 3","Gram-positive bacteria.","NA","NA","Single dose of 0.5 mL.","Anti-pertussis toxoid.","Subcutaneous","NA","NA","NA","NA","For pertussis and diphtheria.","NA","NA","Single dose","NA","NA","NCT02118961","NA","TRIBIK","NA"
"1306","Tritanrix-HepB/Hib-MenAC","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","427 to 730 days","Combined diphtheria, tetanus, whole cell pertussis, hepatitis B, haemophilus influenzae type b meningococcal AC-tetanus toxoid conjugate vaccine.","GlaxoSmithKline","Thailand","2006","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Three doses and a booster.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, haemophilus influenzae type b, pertussis and hepatitis B.","NA","NA","Combination (4 doses)","NA","NA","NCT00136604","NA","NA","NA"
"1307","Tritanrix-HepB/Hib","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","50 to 71 days","Pentavalent combination vaccine.","Sanofi Pasteur, a Sanofi Company","Mexico, Peru","2008","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Three doses of 0.5 mL given at age 2, 4, and 6 months.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, tetanus, hepatitis B and haemophilus influenzae type b.","NA","NA","Combination (3 doses)","NA","NA","NCT00313911","https://www.vaccinebox.com/product/tritanrix-hb-hib/","NA","NA"
"1308","BR-TD-1001","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Toxoid","DNA","10 to 12 years","Td vaccine.","Boryung Biopharma Co., Ltd.","Korea, Republic of","2017","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Single dose of 0.5 mL.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria also.","NA","NA","Single dose","NA","26091286","NCT04618939","NA","NA","NA"
"1309","SP0204","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","2 to 68 months","DTaP-IPV/Hib combined vaccine.","Sanofi Pasteur, a Sanofi Company","Japan","2016","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Primary - 0.5 mL, 3 times each given 4 to 8 weeks apart.\nOne booster vaccination.","NA","Subcutaneous","NA","NA","NA","NA","For pertussis, diphtheria, poliomyelitis and bacterial meningitis.","NA","NA","Combination (3 doses)","NA","NA","NCT02274285","NA","DTaP-IPV/Hib combined vaccine","NA"
"1310","DD 687 or DF 098","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","2 to 68 months","DTaP-IPV vaccine and Hib vaccine.","Sanofi Pasteur, a Sanofi Company","Japan","2016","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Three doses of 0.5 mL, each given 3 to 8 weeks apart.","NA","Subcutaneous","NA","NA","NA","NA","For pertussis, diphtheria, poliomyelitis and bacterial meningitis.","NA","NA","Combination (3 doses)","NA","NA","NCT02274285","NA","NA","NA"
"1311","DTaP-IPVvero","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","up to 49 days","DTaP-IPV containing IPV produced in a vero-cell line.","Statens Serum Institut","Poland","2006","Clinical - Phase 3","Gram-positive bacteria.","NA","Solution","0.5 mL at 2, 3.5, 5 and 16 months of age.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, acellular pertussis, and inactivated poliovirus.","NA","NA","Combination (4 doses)","NA","NA","NCT00655148","NA","NA","NA"
"1312","DTaP-IPVmkc","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","up to 49 days","DTaP-IPV containing IPV produced in monkey kidney cells.","Statens Serum Institut","Poland","2006","Clinical - Phase 3","Gram-positive bacteria.","NA","Solution","0.5 mL at 2, 3.5, 5 and 16 months of age.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, acellular pertussis, and inactivated poliovirus.","NA","NA","Combination (4 doses)","NA","NA","NCT00655148","NA","NA","NA"
"1313","Tritanrix-HepB/ Hiberix","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","6 to 8 weeks","Low or high dose formulations of DTPw-HBV/Hib vaccine.","GlaxoSmithKline","India","2008","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Three doses at 6, 10 and 14 weeks of age.","NA","Intramuscular","NA","NA","NA","NA","For whole cell pertussis, haemophilus influenzae type b, diphtheria and hepatitis B.","NA","NA","Combination (3 doses)","NA","NA","NCT00473668","NA","NA","NA"
"1314","GSK323527A","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","18 to 24 months","DTPw-HBV/Hib Kft vaccine.","GlaxoSmithKline","Argentina, Nicaragua","2006","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Three doses as primary series and a booster dose.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, pertussis, hepatitis B and haemophilus influenzae type b.","NA","NA","Combination (4 doses)","NA","NA","NCT00332566","NA","NA","NA"
"1315","V441","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Conjugate","DNA","6 to 8 weeks","Diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis, hepatitis B (recombinant), & Haemophilus influenza type b conjugate vaccine.","Merck Sharp & Dohme Corp.","NA","2003","Clinical - Phase 3","Gram-positive bacteria.","NA","NA","NA","NA","NA","NA","NA","NA","NA","For diphtheria, pertussis, hepatitis B and poliomyelitis.","NA","NA","NA","NA","NA","NCT00092469","NA","NA","NA"
"1316","BK1310","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","2 to 42 months","DPT-IPV-Hib vaccine.","Mitsubishi Tanabe Pharma Corporation","Japan","2020","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","0.5 ml, 3 times with the 3-8 weeks intervals, then an additional injection after 6-13 months.","NA","Subcutaneous","NA","NA","NA","NA","For diphtheria, pertussis, poliomyelitis and bacterial meningitis.","NA","NA","Combination doses","NA","NA","NCT03891758","https://www.centerwatch.com/clinical-trials/listings/108627/immunization;-infection-phase-3-study-bk1310/","DPT-IPV-Hib","NA"
"1317","SHAN6","Bacteria","Tetanus (Lock Jaw)","Clostridium tetani","Combination","DNA","8 to 11 weeks","DTwP-HepB-Hib-IPV hexavalent vaccine.","Sanofi Pasteur, a Sanofi Company","Thailand","2021","Clinical - Phase 3","Gram-positive bacteria.","NA","Suspension for injection","Three doses.","NA","Intramuscular","NA","NA","NA","NA","For diphtheria, pertussis, hepatitis B, haemophilus influenzae type b and inactivated poliovirus.","NA","NA","Combination (3 doses)","NA","NA","NCT04429295","http://www.ctri.nic.in/Clinicaltrials/pdf_generate.php?trialid=30046&EncHid=&modid=&compid=%27,%2730046det%27","DTwP-HepB-Hib-IPV","NA"
"1318","PXVX0200","Bacteria","Cholera","Vibrio cholerae","Live attenuated","DNA","18 to 45 years","Live Oral cholera vaccine, CVD 103-HgR.","Emergent BioSolutions","United States","2014","Clinical - Phase 3","Gram negative bacteria.","NA","Liquid suspension after reconstitution with buffer","Single dose.","NA","Oral","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","21498389","NCT01895855","NA","Mutacol or Orochol","NA"
"1319","Cholvax","Bacteria","Cholera","Vibrio cholerae","Inactivated","DNA","1 to 45 years","Locally produced bivalent whole cell-oral cholera vaccine (WC-OCV) manufactured by Incepta vaccine Limited.","International Centre for Diarrhoeal Disease Research, Bangladesh","Bangladesh","2017","Clinical - Phase 2","Gram-negative bacteria.","NA","NA","Two doses, gap of 14 days.","NA","Oral","NA","NA","NA","NA","NA","NA","NA","Combination (2 doses)","NA","31879125","NCT02742558","NA","NA","NA"
"1320","Oral Cholera vaccine (in Vietnam)","Bacteria","Cholera","Vibrio cholerae","Inactivated","DNA","18 to 40 years","Locally-produced bivalent killed (O-1 and O-139) whole-cell oral cholera vaccine. Not licensed for use in countries other than Vietnam.","International Vaccine Institute","Vietnam","2005","Clinical - Phase 2","Gram-negative bacteria.","NA","NA","NA","NA","Oral","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NCT00128011","NA","NA","NA"
"1321","Choleragarde","Bacteria","Cholera","Vibrio cholerae","Live attenuated","DNA","18 to 45 years","Oral Cholera vaccine manufactured by Avant Immunotherapeutic Inc.","International Vaccine Institute","Thailand","2011","Clinical - Phase 2","Gram-negative bacteria.","NA","Lyophilized","Single dose.","NA","Oral","NA","NA","NA","NA","For Diarrhoea and Vibrio infections.","NA","NA","Single dose","NA","NA","NCT00741637","NA","Peru-15","NA"
"1322","VLA1701","Bacteria","Cholera","Vibrio cholerae","NA","DNA","18 to 49 years","Investigational Oral cholera and ETEC vaccine.","Valneva Austria GmbH","United States","2018","Clinical - Phase 2","Gram-negative bacteria","NA","NA","Two doses, gap of 7 days.","NA","Oral","NA","NA","NA","NA","Also for diarrhoea and enterotoxigenic Escherichia Coli infection.","NA","NA","Combination (2 doses)","NA","NA","NCT03576183","NA","NA","NA"
"1323","HL-OCV","Bacteria","Cholera","Vibrio cholerae","Inactivated","DNA","1 to 45 years","Locally manufactured, formaldehyde-inactivated recombinant Cholerae strain ,MS 1568 expressing both Ogawa and Inaba antigens.","International Centre for Diarrhoeal Disease Research","Bangladesh","2017","Clinical - Phase 1, Phase 2","Gram-negative bacteria.","NA","NA","Two dose primary series.","NA","Oral","NA","NA","NA","NA","NA","NA","NA","Combination (2 doses)","NA","NA","NCT02823899","NA","Hillchol","NA"
"1324"," Peru-15-pCTB","Bacteria","Cholera","Vibrio cholerae","Live attenuated","DNA","18 to 45 years","Enterotoxigenic Escherichia Coli (ETEC)-Cholera vaccine with cholera toxin B-subunit.","National Institute of Allergy and Infectious Diseases (NIAID)","United States","2010","Clinical - Phase 1","Gram-negative bacteria.","NA","NA","Single dose.","NA","Oral","NA","NA","NA","NA","Also for Gastroenteritis Escherichia Coli.","NA","NA","Single dose","NA","NA","NCT00654108","NA","NA","NA"
"1325","TyVEGHA","Bacteria","Typhoid","Salmonella typhi","Conjugate","DNA","9 months to 15 years","Vi-Polysaccharide conjugate vaccine (Vi-TT).","International Vaccine Institute","NA","2024","Clinical - Phase 4","Gram negative bacteria.","NA","NA","Single dose.","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT04852185","NA","NA","NA"
"1326","PQed","Bacteria","Typhoid","Salmonella typhi","Conjugate","DNA","6 months to 60 years","TCV (Typhoid conjugate vaccine).","PT Bio Farma","Indonesia","2021","Clinical - Phase 3","Gram negative bacteria.","NA","NA","Single dose of 0.5 mL.","NA","NA","NA","NA","NA","NA","NA","NA","NA","Single dose","NA","NA","NCT04051268","NA","NA","NA"
